role_id,role_title,masco_code,masco_source_page_pdf,rated_task_count,remote_capable_tasks,remote_onsite_tasks,remote_unclear_tasks,remote_pre_rating,ai_exposable_tasks,ai_exposure_share,ai_pre_rating,independent_raters_required,reconciliation_status,release_use,task_source_level,source_url
M132302,Building and Architecture Manager,132302,,9,4,0,5,medium,3,0.3333,medium,2,pending,research_pre_rating_only,exact_occupation,https://emasco.mohr.gov.my/masco/1323-02
M132303,Land Surveyor Manager,132303,,9,4,0,5,medium,3,0.3333,medium,2,pending,research_pre_rating_only,exact_occupation,https://emasco.mohr.gov.my/masco/1323-03
M132401,Railway Station Master,132401,,9,1,1,7,low,2,0.2222,low,2,pending,research_pre_rating_only,exact_occupation,https://emasco.mohr.gov.my/masco/1324-01
M132402,Transport Manager,132402,,9,3,0,6,medium,3,0.3333,medium,2,pending,research_pre_rating_only,exact_occupation,https://emasco.mohr.gov.my/masco/1324-02
M132404,Port/Shipping Operations Manager,132404,,9,2,0,7,medium,2,0.2222,low,2,pending,research_pre_rating_only,exact_occupation,https://emasco.mohr.gov.my/masco/1324-04
M132405,Halal Logistics Operation Manager,132405,,9,1,0,8,medium,0,0.0,low,2,pending,research_pre_rating_only,exact_occupation,https://emasco.mohr.gov.my/masco/1324-05
M151101,Chief Information Officer/Chief Data Officer/Chief Information Security Officer,151101,,9,8,0,1,medium,7,0.7778,high,2,pending,research_pre_rating_only,exact_occupation,https://emasco.mohr.gov.my/masco/1511-01
M151102,Information Systems Manager,151102,,10,4,0,6,medium,2,0.2,low,2,pending,research_pre_rating_only,exact_occupation,https://emasco.mohr.gov.my/masco/1511-02
M151103,Village Community Center Manager (Information Technology),151103,,10,4,0,6,medium,6,0.6,high,2,pending,research_pre_rating_only,exact_occupation,https://emasco.mohr.gov.my/masco/1511-03
M151104,Internet Service Provider,151104,,8,2,0,6,medium,1,0.125,low,2,pending,research_pre_rating_only,exact_occupation,https://emasco.mohr.gov.my/masco/1511-04
M151105,Network/Communications/Infrastructure Manager,151105,,10,6,0,4,medium,3,0.3,medium,2,pending,research_pre_rating_only,exact_occupation,https://emasco.mohr.gov.my/masco/1511-05
M151106,Audio Visual Manager,151106,,8,3,1,4,low,2,0.25,low,2,pending,research_pre_rating_only,exact_occupation,https://emasco.mohr.gov.my/masco/1511-06
M151107,Information Technology Project Manager,151107,,9,1,0,8,medium,1,0.1111,low,2,pending,research_pre_rating_only,exact_occupation,https://emasco.mohr.gov.my/masco/1511-07
M151108,Information Technology Programme Manager,151108,,9,2,0,7,medium,7,0.7778,high,2,pending,research_pre_rating_only,exact_occupation,https://emasco.mohr.gov.my/masco/1511-08
M151109,Bioinformatics Manager,151109,,8,7,0,1,medium,7,0.875,high,2,pending,research_pre_rating_only,exact_occupation,https://emasco.mohr.gov.my/masco/1511-09
M151110,Creative Multimedia Manager,151110,,9,1,0,8,medium,2,0.2222,low,2,pending,research_pre_rating_only,exact_occupation,https://emasco.mohr.gov.my/masco/1511-10
M151111,Network Operations Manager,151111,,9,3,0,6,medium,1,0.1111,low,2,pending,research_pre_rating_only,exact_occupation,https://emasco.mohr.gov.my/masco/1511-11
M151112,Information Technology Business Development Manager,151112,,8,5,0,3,medium,1,0.125,low,2,pending,research_pre_rating_only,exact_occupation,https://emasco.mohr.gov.my/masco/1511-12
M151113,Software and Applications Manager,151113,,9,5,0,4,medium,3,0.3333,medium,2,pending,research_pre_rating_only,exact_occupation,https://emasco.mohr.gov.my/masco/1511-13
M151118,Data Manager,151118,,8,8,0,0,high,8,1.0,high,2,pending,research_pre_rating_only,exact_occupation,https://emasco.mohr.gov.my/masco/1511-18
M161201,Phytonutrients Manager,161201,,8,2,0,6,medium,0,0.0,low,2,pending,research_pre_rating_only,exact_occupation,https://emasco.mohr.gov.my/masco/1612-01
M161202,Health Educator,161202,,8,1,0,7,medium,3,0.375,medium,2,pending,research_pre_rating_only,exact_occupation,https://emasco.mohr.gov.my/masco/1612-02
M161203,Chief Nurse,161203,,9,0,0,9,medium,0,0.0,low,2,pending,research_pre_rating_only,exact_occupation,https://emasco.mohr.gov.my/masco/1612-03
M211101,Physicist,211101,,10,6,4,0,low,5,0.5,medium,2,pending,research_pre_rating_only,exact_occupation,https://emasco.mohr.gov.my/masco/2111-01
M211102,Astronaut,211102,,8,5,2,1,low,1,0.125,low,2,pending,research_pre_rating_only,exact_occupation,https://emasco.mohr.gov.my/masco/2111-02
M211201,Meteorologist,211201,,8,6,0,2,medium,4,0.5,medium,2,pending,research_pre_rating_only,exact_occupation,https://emasco.mohr.gov.my/masco/2112-01
M211202,Meteorologist (Environmental),211202,,9,4,0,5,medium,4,0.4444,medium,2,pending,research_pre_rating_only,exact_occupation,https://emasco.mohr.gov.my/masco/2112-02
M211203,Meteorologist (Numerical Weather Prediction Modelling),211203,,9,3,0,6,medium,3,0.3333,medium,2,pending,research_pre_rating_only,exact_occupation,https://emasco.mohr.gov.my/masco/2112-03
M211204,Meteorological Officer Grade C9,211204,,10,7,1,2,low,7,0.7,high,2,pending,research_pre_rating_only,exact_occupation,https://emasco.mohr.gov.my/masco/2112-04
M211301,Chemist,211301,,8,5,1,2,low,5,0.625,high,2,pending,research_pre_rating_only,exact_occupation,https://emasco.mohr.gov.my/masco/2113-01
M211401,Geologist,211401,,8,6,0,2,medium,4,0.5,medium,2,pending,research_pre_rating_only,exact_occupation,https://emasco.mohr.gov.my/masco/2114-01
M211402,Hydrologist,211402,,7,3,0,4,medium,2,0.2857,low,2,pending,research_pre_rating_only,exact_occupation,https://emasco.mohr.gov.my/masco/2114-02
M211403,Geoscientist,211403,,9,7,0,2,medium,4,0.4444,medium,2,pending,research_pre_rating_only,exact_occupation,https://emasco.mohr.gov.my/masco/2114-03
M212101,Mathematician,212101,,7,6,0,1,medium,3,0.4286,medium,2,pending,research_pre_rating_only,exact_occupation,https://emasco.mohr.gov.my/masco/2121-01
M212102,Statistician,212102,,8,8,0,0,high,7,0.875,high,2,pending,research_pre_rating_only,exact_occupation,https://emasco.mohr.gov.my/masco/2121-02
M212103,Actuary,212103,,8,6,0,2,medium,5,0.625,high,2,pending,research_pre_rating_only,exact_occupation,https://emasco.mohr.gov.my/masco/2121-03
M212104,Metrologist,212104,,8,5,1,2,low,4,0.5,medium,2,pending,research_pre_rating_only,exact_occupation,https://emasco.mohr.gov.my/masco/2121-04
M212105,Statistician Grade E9,212105,,10,8,0,2,medium,5,0.5,medium,2,pending,research_pre_rating_only,exact_occupation,https://emasco.mohr.gov.my/masco/2121-05
M213101,Microbiologist,213101,,8,4,0,4,medium,3,0.375,medium,2,pending,research_pre_rating_only,exact_occupation,https://emasco.mohr.gov.my/masco/2131-01
M213102,Serologist,213102,,9,4,1,4,low,4,0.4444,medium,2,pending,research_pre_rating_only,exact_occupation,https://emasco.mohr.gov.my/masco/2131-02
M213103,Biologist,213103,,9,6,0,3,medium,3,0.3333,medium,2,pending,research_pre_rating_only,exact_occupation,https://emasco.mohr.gov.my/masco/2131-03
M213104,Cytologist,213104,,7,2,0,5,medium,2,0.2857,low,2,pending,research_pre_rating_only,exact_occupation,https://emasco.mohr.gov.my/masco/2131-04
M213105,Botanist,213105,,8,8,0,0,high,3,0.375,medium,2,pending,research_pre_rating_only,exact_occupation,https://emasco.mohr.gov.my/masco/2131-05
M213106,Ecologist,213106,,9,4,0,5,medium,4,0.4444,medium,2,pending,research_pre_rating_only,exact_occupation,https://emasco.mohr.gov.my/masco/2131-06
M213107,Wildlife Officer Grade G9,213107,,10,4,0,6,medium,2,0.2,low,2,pending,research_pre_rating_only,exact_occupation,https://emasco.mohr.gov.my/masco/2131-07
M213201,Agricultural Officer,213201,,10,4,0,6,medium,2,0.2,low,2,pending,research_pre_rating_only,exact_occupation,https://emasco.mohr.gov.my/masco/2132-01
M213202,Farm Demonstrator,213202,,8,3,0,5,medium,2,0.25,low,2,pending,research_pre_rating_only,exact_occupation,https://emasco.mohr.gov.my/masco/2132-02
M213203,Forestry Officer,213203,,9,3,0,6,medium,3,0.3333,medium,2,pending,research_pre_rating_only,exact_occupation,https://emasco.mohr.gov.my/masco/2132-03
M213204,Aquaculture Executive,213204,,9,1,1,7,low,1,0.1111,low,2,pending,research_pre_rating_only,exact_occupation,https://emasco.mohr.gov.my/masco/2132-04
M213206,Conservator of Forests Grade G9,213206,,10,5,1,4,low,4,0.4,medium,2,pending,research_pre_rating_only,exact_occupation,https://emasco.mohr.gov.my/masco/2132-06
M213207,Agricultural Officer Grade G9,213207,,9,5,2,2,low,4,0.4444,medium,2,pending,research_pre_rating_only,exact_occupation,https://emasco.mohr.gov.my/masco/2132-07
M213208,Land Planning Officer Grade G9,213208,,10,4,0,6,medium,7,0.7,high,2,pending,research_pre_rating_only,exact_occupation,https://emasco.mohr.gov.my/masco/2132-08
M213301,Agronomist,213301,,9,7,0,2,medium,3,0.3333,medium,2,pending,research_pre_rating_only,exact_occupation,https://emasco.mohr.gov.my/masco/2133-01
M213302,Agricultural Scientist,213302,,9,4,0,5,medium,4,0.4444,medium,2,pending,research_pre_rating_only,exact_occupation,https://emasco.mohr.gov.my/masco/2133-02
M213303,Floriculturist,213303,,8,5,1,2,low,3,0.375,medium,2,pending,research_pre_rating_only,exact_occupation,https://emasco.mohr.gov.my/masco/2133-03
M213304,Horticulturist/Arborist,213304,,10,10,0,0,high,5,0.5,medium,2,pending,research_pre_rating_only,exact_occupation,https://emasco.mohr.gov.my/masco/2133-04
M213305,Wood Analyst,213305,,9,3,1,5,low,4,0.4444,medium,2,pending,research_pre_rating_only,exact_occupation,https://emasco.mohr.gov.my/masco/2133-05
M213306,Animal Scientist,213306,,9,5,0,4,medium,4,0.4444,medium,2,pending,research_pre_rating_only,exact_occupation,https://emasco.mohr.gov.my/masco/2133-06
M213307,Environmental Research Scientist,213307,,10,7,0,3,medium,4,0.4,medium,2,pending,research_pre_rating_only,exact_occupation,https://emasco.mohr.gov.my/masco/2133-07
M213308,Conservation Officer,213308,,7,4,0,3,medium,1,0.1429,low,2,pending,research_pre_rating_only,exact_occupation,https://emasco.mohr.gov.my/masco/2133-08
M213309,Environmental Consultant,213309,,10,4,1,5,low,2,0.2,low,2,pending,research_pre_rating_only,exact_occupation,https://emasco.mohr.gov.my/masco/2133-09
M213310,Environmental Control Officer Grade C9,213310,,10,3,0,7,medium,6,0.6,high,2,pending,research_pre_rating_only,exact_occupation,https://emasco.mohr.gov.my/masco/2133-10
M213401,Biochemist,213401,,9,6,0,3,medium,6,0.6667,high,2,pending,research_pre_rating_only,exact_occupation,https://emasco.mohr.gov.my/masco/2134-01
M213402,Endocrinologist,213402,,8,2,0,6,medium,2,0.25,low,2,pending,research_pre_rating_only,exact_occupation,https://emasco.mohr.gov.my/masco/2134-02
M213403,Physiologist,213403,,10,7,0,3,medium,4,0.4,medium,2,pending,research_pre_rating_only,exact_occupation,https://emasco.mohr.gov.my/masco/2134-03
M213404,Pharmacologist,213404,,9,5,0,4,medium,4,0.4444,medium,2,pending,research_pre_rating_only,exact_occupation,https://emasco.mohr.gov.my/masco/2134-04
M213405,Pathologist,213405,,9,3,1,5,low,3,0.3333,medium,2,pending,research_pre_rating_only,exact_occupation,https://emasco.mohr.gov.my/masco/2134-05
M213406,Bio-Fermentation Specialist,213406,,6,4,1,1,low,2,0.3333,medium,2,pending,research_pre_rating_only,exact_occupation,https://emasco.mohr.gov.my/masco/2134-06
M213407,Bee Cultivation Specialist,213407,,8,1,1,6,low,1,0.125,low,2,pending,research_pre_rating_only,exact_occupation,https://emasco.mohr.gov.my/masco/2134-07
M213408,Embryologist,213408,,8,2,1,5,low,2,0.25,low,2,pending,research_pre_rating_only,exact_occupation,https://emasco.mohr.gov.my/masco/2134-08
M214101,Automation Engineer,214101,,10,3,2,5,low,5,0.5,medium,2,pending,research_pre_rating_only,exact_occupation,https://emasco.mohr.gov.my/masco/2141-01
M214102,Robotics Engineer,214102,,9,5,0,4,medium,7,0.7778,high,2,pending,research_pre_rating_only,exact_occupation,https://emasco.mohr.gov.my/masco/2141-02
M214103,Industrial Engineer,214103,,10,6,2,2,low,6,0.6,high,2,pending,research_pre_rating_only,exact_occupation,https://emasco.mohr.gov.my/masco/2141-03
M214104,Communication Analyst,214104,,7,7,0,0,high,2,0.2857,low,2,pending,research_pre_rating_only,exact_occupation,https://emasco.mohr.gov.my/masco/2141-04
M214105,Systems Engineer (except Computers),214105,,10,7,1,2,low,6,0.6,high,2,pending,research_pre_rating_only,exact_occupation,https://emasco.mohr.gov.my/masco/2141-05
M214106,Systems Design Engineer (except Computers),214106,,9,9,0,0,high,7,0.7778,high,2,pending,research_pre_rating_only,exact_occupation,https://emasco.mohr.gov.my/masco/2141-06
M214107,Cost Evaluation Engineer,214107,,9,3,1,5,low,3,0.3333,medium,2,pending,research_pre_rating_only,exact_occupation,https://emasco.mohr.gov.my/masco/2141-07
M214108,Industrial and Production Technologist,214108,,10,3,3,4,low,4,0.4,medium,2,pending,research_pre_rating_only,exact_occupation,https://emasco.mohr.gov.my/masco/2141-08
M214109,Ceramics Technologist,214109,,9,5,0,4,medium,5,0.5556,medium,2,pending,research_pre_rating_only,exact_occupation,https://emasco.mohr.gov.my/masco/2141-09
M214110,Photonic Engineer,214110,,8,6,0,2,medium,6,0.75,high,2,pending,research_pre_rating_only,exact_occupation,https://emasco.mohr.gov.my/masco/2141-10
M214111,Scada Engineer,214111,,6,5,0,1,medium,3,0.5,medium,2,pending,research_pre_rating_only,exact_occupation,https://emasco.mohr.gov.my/masco/2141-11
M214112,Energy Engineer,214112,,10,8,0,2,medium,5,0.5,medium,2,pending,research_pre_rating_only,exact_occupation,https://emasco.mohr.gov.my/masco/2141-12
M214113,Renewable Energy Engineer,214113,,9,5,1,3,low,4,0.4444,medium,2,pending,research_pre_rating_only,exact_occupation,https://emasco.mohr.gov.my/masco/2141-13
M214114,Environment Engineer,214114,,9,3,0,6,medium,3,0.3333,medium,2,pending,research_pre_rating_only,exact_occupation,https://emasco.mohr.gov.my/masco/2141-14
M214115,Energy Auditor,214115,,8,2,0,6,medium,2,0.25,low,2,pending,research_pre_rating_only,exact_occupation,https://emasco.mohr.gov.my/masco/2141-15
M214116,Materials Engineer,214116,,9,6,0,3,medium,4,0.4444,medium,2,pending,research_pre_rating_only,exact_occupation,https://emasco.mohr.gov.my/masco/2141-16
M214201,Civil Engineering Technologist,214201,,10,4,0,6,medium,3,0.3,medium,2,pending,research_pre_rating_only,exact_occupation,https://emasco.mohr.gov.my/masco/2142-01
