role_id,masco_code,role_title,locale,role_standard,crosswalk_status,crosswalk_confidence,mapped_masco2020_code,mapped_masco2020_title,global_sources,global_match_count,global_anchor_count,question_count,linked_open_qa_count,role_source_url,role_license_status
M151105,151105,Network/Communications/Infrastructure Manager,en-MY,MASCO 2020,retained,medium,151117,Network Manager,ESCO 1.2.1,1,6,12,0,https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=323,official_source_rights_review_required_for_external_bulk_redistribution
M151106,151106,Audio Visual Manager,en-MY,MASCO 2020,retained,high,151119,Audio Visual Manager,ESCO 1.2.1,1,6,12,0,https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=323,official_source_rights_review_required_for_external_bulk_redistribution
M151107,151107,Information Technology Project Manager,en-MY,MASCO 2020,retained,high,151122,Information Technology Project Manager,ESCO 1.2.1; O*NET 31.0,2,13,12,8,https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=323,official_source_rights_review_required_for_external_bulk_redistribution
M151108,151108,Information Technology Programme Manager,en-MY,MASCO 2020,retained,high,151124,Information Technology Programme Manager,ESCO 1.2.1; O*NET 31.0,2,13,12,8,https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=323,official_source_rights_review_required_for_external_bulk_redistribution
M151109,151109,Bioinformatics Manager,en-MY,MASCO 2020,retained,high,151127,Bioinformatics Manager,ESCO 1.2.1,1,6,12,0,https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=323,official_source_rights_review_required_for_external_bulk_redistribution
M151110,151110,Creative Multimedia Manager,en-MY,MASCO 2020,retained,high,151128,Creative Multimedia Manager,ESCO 1.2.1,1,6,12,0,https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=323,official_source_rights_review_required_for_external_bulk_redistribution
M151111,151111,Network Operations Manager,en-MY,MASCO 2020,retained,high,151130,Network Operations Manager,ESCO 1.2.1; O*NET 31.0; OSCA 2024 Version 1.0,3,14,12,0,https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=323,official_source_rights_review_required_for_external_bulk_redistribution
M151112,151112,Information Technology Business Development Manager,en-MY,MASCO 2020,retained,high,151132,Information Technology Business Development Manager,ESCO 1.2.1; O*NET 31.0; OSCA 2024 Version 1.0,3,14,12,8,https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=323,official_source_rights_review_required_for_external_bulk_redistribution
M151113,151113,Software and Applications Manager,en-MY,MASCO 2020,retained,medium,151112,Application Development Manager,ESCO 1.2.1,1,6,12,8,https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=323,official_source_rights_review_required_for_external_bulk_redistribution
M151118,151118,Data Manager,en-MY,MASCO 2020,retained,medium,151113,Data Operations Manager,ESCO 1.2.1; O*NET 31.0,2,13,12,0,https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=323,official_source_rights_review_required_for_external_bulk_redistribution
