role_id,masco_code,role_title,expected_questions,actual_questions,expected_global_matches_minimum,actual_global_matches,actual_global_anchors,linked_open_qa_records,qa_status
M213307,213307,Environmental Research Scientist,12,12,1,2,10,0,PASS
M213308,213308,Conservation Officer,12,12,1,3,14,0,PASS
M213309,213309,Environmental Consultant,12,12,1,2,10,0,PASS
M213310,213310,Environmental Control Officer Grade C9,12,12,1,1,6,0,PASS
M213401,213401,Biochemist,12,12,1,1,6,0,PASS
M213402,213402,Endocrinologist,12,12,1,2,10,0,PASS
M213403,213403,Physiologist,12,12,1,1,6,0,PASS
M213404,213404,Pharmacologist,12,12,1,1,6,0,PASS
M213405,213405,Pathologist,12,12,1,2,10,0,PASS
M213406,213406,Bio-Fermentation Specialist,12,12,1,1,6,0,PASS
M213407,213407,Bee Cultivation Specialist,12,12,1,1,6,0,PASS
M213408,213408,Embryologist,12,12,1,1,6,0,PASS
M214101,214101,Automation Engineer,12,12,1,1,6,0,PASS
M214102,214102,Robotics Engineer,12,12,1,2,13,0,PASS
M214103,214103,Industrial Engineer,12,12,1,4,14,0,PASS
M214104,214104,Communication Analyst,12,12,1,1,6,0,PASS
M214105,214105,Systems Engineer (except Computers),12,12,1,3,14,0,PASS
M214106,214106,Systems Design Engineer (except Computers),12,12,1,2,13,0,PASS
M214107,214107,Cost Evaluation Engineer,12,12,1,1,6,0,PASS
M214108,214108,Industrial and Production Technologist,12,12,1,2,13,0,PASS
M214109,214109,Ceramics Technologist,12,12,1,1,6,0,PASS
M214110,214110,Photonic Engineer,12,12,1,2,13,0,PASS
M214111,214111,Scada Engineer,12,12,1,1,6,0,PASS
M214112,214112,Energy Engineer,12,12,1,2,13,0,PASS
M214113,214113,Renewable Energy Engineer,12,12,1,2,13,0,PASS
M214114,214114,Environment Engineer,12,12,1,1,6,0,PASS
M214115,214115,Energy Auditor,12,12,1,2,13,0,PASS
M214116,214116,Materials Engineer,12,12,1,4,14,0,PASS
M214201,214201,Civil Engineering Technologist,12,12,1,4,14,0,PASS
M214202,214202,Civil Engineer,12,12,1,4,14,0,PASS
M214203,214203,Foundation Engineer,12,12,1,1,6,0,PASS
M214204,214204,Quantity Surveyor,12,12,1,2,10,0,PASS
M214206,214206,Engineer Grade J9,12,12,1,1,6,0,PASS
M214207,214207,Quantity Surveyor Grade J9/J10,12,12,1,2,10,0,PASS
M214208,214208,Building Surveyor Grade J9/J10,12,12,1,2,10,0,PASS
M214301,214301,Environmental Engineer,12,12,1,3,14,0,PASS
M214302,214302,Environmental Analyst,12,12,1,1,6,0,PASS
M214401,214401,Mechanical Engineer,12,12,1,4,14,0,PASS
M214402,214402,Lift Engineer,12,12,1,1,6,0,PASS
M214403,214403,Competent Person (CP) - Internal Combustion Engine Engineer,12,12,1,1,6,0,PASS
M214404,214404,Welding Engineer,12,12,1,1,6,0,PASS
M214405,214405,Engineering Technologist,12,12,1,4,14,0,PASS
M214406,214406,Robotic Technologist,12,12,1,1,6,0,PASS
M214407,214407,Aerospace Engineer,12,12,1,4,14,0,PASS
M214408,214408,Mine Ventilation Engineer,12,12,1,1,6,0,PASS
M214501,214501,Chemical Engineer,12,12,1,4,14,0,PASS
M214601,214601,Mining Engineer,12,12,1,3,14,0,PASS
M214602,214602,Petroleum Mining Engineer,12,12,1,4,14,0,PASS
M214603,214603,Metallurgist,12,12,1,1,6,0,PASS
M214604,214604,Assayer,12,12,1,1,6,0,PASS
M214605,214605,Marine Section Leader,12,12,1,1,6,0,PASS
M214606,214606,Hydraulics Engineer,12,12,1,1,6,0,PASS
M214607,214607,Water Management Engineer,12,12,1,3,14,0,PASS
M214608,214608,Pipeline Mechanical Engineer,12,12,1,4,14,0,PASS
M214609,214609,Pipe Stress Engineer,12,12,1,1,6,0,PASS
M214610,214610,Blasting Expert (Mine),12,12,1,1,6,0,PASS
M214901,214901,Explosive Ordnance Engineer,12,12,1,1,6,0,PASS
M214902,214902,Marine Salvage Engineer,12,12,1,2,10,0,PASS
M214904,214904,Industrial Health and Safety Engineer,12,12,1,3,14,0,PASS
M214905,214905,Field Service Engineer,12,12,1,2,10,0,PASS
M214906,214906,Research Engineer,12,12,1,1,6,0,PASS
M214907,214907,Biomedical Engineer,12,12,1,3,14,0,PASS
M214908,214908,Optical Engineer,12,12,1,1,6,0,PASS
M214909,214909,Quality Assurance/Quality Control Inspection Engineer (QA/QC),12,12,1,1,6,0,PASS
M214910,214910,Commissioning Engineer,12,12,1,1,6,0,PASS
M214911,214911,Nano Engineer,12,12,1,1,6,0,PASS
M214913,214913,Factories and Machinery Inspector Grade J9,12,12,1,1,6,0,PASS
M215101,215101,Electrical Engineer,12,12,1,4,14,0,PASS
M215102,215102,Electrical Energy Auditor,12,12,1,2,13,0,PASS
M215103,215103,Electrical Superintendent,12,12,1,1,6,0,PASS
M215201,215201,Electronics Engineer,12,12,1,4,14,0,PASS
M215202,215202,Integrated Circuit (IC) Package Assembly Process Engineer,12,12,1,1,6,0,PASS
M215301,215301,Telecommunications Engineer,12,12,1,2,10,0,PASS
M215302,215302,Network and Systems Engineer,12,12,1,2,10,0,PASS
M215303,215303,Acoustic Engineer,12,12,1,2,10,0,PASS
M216101,216101,Architect,12,12,1,3,14,0,PASS
M216102,216102,Architect Grade J9/J10,12,12,1,1,6,0,PASS
M216201,216201,Landscape Architect,12,12,1,4,14,0,PASS
M216202,216202,Landscape Architect Grade J9,12,12,1,4,14,0,PASS
M216301,216301,Commercial Products Designer,12,12,1,2,13,0,PASS
M216302,216302,Green Technology Design Professional,12,12,1,1,6,0,PASS
M216401,216401,Town Planner,12,12,1,1,6,0,PASS
M216402,216402,Traffic Engineer,12,12,1,1,6,0,PASS
M216403,216403,Urban and Regional Planner,12,12,1,3,14,0,PASS
M216404,216404,Urban and Rural Planning Officer Grade J9,12,12,1,1,6,0,PASS
M216501,216501,Cartographer,12,12,1,2,10,0,PASS
M216502,216502,Surveyor,12,12,1,2,13,0,PASS
M216503,216503,Geospatialist Grade J9,12,12,1,1,6,0,PASS
M216504,216504,Surveyor Grade J9,12,12,1,1,6,0,PASS
M216602,216602,Poster Designer,12,12,1,1,6,0,PASS
M216603,216603,Designer Grade B9,12,12,1,1,6,0,PASS
M217101,217101,Marine Engineer,12,12,1,3,14,0,PASS
M217102,217102,Naval Architect,12,12,1,3,14,0,PASS
M217201,217201,Hovercraft Pilot,12,12,1,1,6,0,PASS
M217202,217202,Port Captain,12,12,1,1,6,0,PASS
M217203,217203,Ship Navigator,12,12,1,1,6,0,PASS
M217204,217204,Marine Superintendent (Deck),12,12,1,1,6,0,PASS
M217205,217205,Shipping Executive,12,12,1,1,6,0,PASS
M217206,217206,Marine Officer Grade AL9,12,12,1,1,6,0,PASS
M217301,217301,Pilot,12,12,1,1,6,0,PASS
