role_id,role_title,skill_name,script_line,matches_in_saved_active_core,skill_ids
M311538,CAD/CAM Technician (Computer-Aided Design and Manufacturing),SAS Language,35,1,04f1b938-d4d4-4cb1-a863-982af76b9d93
M311538,CAD/CAM Technician (Computer-Aided Design and Manufacturing),Ruby (Computer Programming),35,1,0ccdfe98-f845-4598-84a1-3dca66e9d9a3
M311538,CAD/CAM Technician (Computer-Aided Design and Manufacturing),Common Lisp,35,1,0cd6dcf1-5778-42a5-b685-4d01ae4a4871
M311538,CAD/CAM Technician (Computer-Aided Design and Manufacturing),Microsoft Visual C++,35,1,8369ede5-4200-4a44-be2e-bc60ef959259
M311538,CAD/CAM Technician (Computer-Aided Design and Manufacturing),TypeScript,35,1,867137fb-ff1b-4ca3-99f3-cb6969aa2c68
M311538,CAD/CAM Technician (Computer-Aided Design and Manufacturing),CoffeeScript,35,1,993b1e23-f2de-4bd8-b33f-f86dde1c8e9d
M311538,CAD/CAM Technician (Computer-Aided Design and Manufacturing),Objective-C,35,1,9973a5a2-7822-4161-99e9-95c781eb63f8
M311538,CAD/CAM Technician (Computer-Aided Design and Manufacturing),ML (Computer Programming),35,1,a4d336a6-9ffd-402a-91cc-f359716ba4e0
M311538,CAD/CAM Technician (Computer-Aided Design and Manufacturing),AJAX,35,1,b4dc6e4f-dc7d-445f-8ce2-d7b9d225e282
M311538,CAD/CAM Technician (Computer-Aided Design and Manufacturing),C++,35,1,b633eb55-8f1f-4ae6-ab4c-2022ffe2cb7f
M311538,CAD/CAM Technician (Computer-Aided Design and Manufacturing),SAP R3,35,1,bb99af26-71ff-4dca-bde7-1eb1f6194426
M311538,CAD/CAM Technician (Computer-Aided Design and Manufacturing),Swift (Computer Programming),35,1,be80acfc-b6f2-4411-9b8d-b19d9cd2556a
M311538,CAD/CAM Technician (Computer-Aided Design and Manufacturing),MATLAB,35,1,c3a03c5a-c260-4c26-9b9a-873abb396f4d
M311538,CAD/CAM Technician (Computer-Aided Design and Manufacturing),Python (Computer Programming),35,1,ccd0a1d9-afda-43d9-b901-96344886e14d
M311538,CAD/CAM Technician (Computer-Aided Design and Manufacturing),Scratch (Computer Programming),35,1,d56fc2b5-4b0a-4e7e-9bde-a33736f6ff18
M311538,CAD/CAM Technician (Computer-Aided Design and Manufacturing),VBScript,35,1,dcdd5ddf-82a6-4ac3-8edc-d4b23cae9a88
M311538,CAD/CAM Technician (Computer-Aided Design and Manufacturing),COBOL,35,1,def007fa-5fed-4a5f-91a2-b0d7e3db1be1
