"role_id","skill_id","skill_name","skill_type","importance","masco_code","masco_version","esco_code","esco_occupation_title","esco_occupation_uri","skill_uri","relation_type","official_skill_type_raw","mapping_relation","mapping_confidence","mapping_review_status","source_version","production_ready"
"M112104","21d2f96d-35f7-4e3f-9745-c533d2dd6e97","Computer Programming","digital","50","112104","2020","1330.3","Chief Technology Officer","http://data.europa.eu/esco/occupation/7b1b5da8-573a-49bb-a38e-68725a949f4f","http://data.europa.eu/esco/skill/21d2f96d-35f7-4e3f-9745-c533d2dd6e97","optional","knowledge","close_match","medium","test_only_project_mapping_not_human_validated","ESCO v1.2.1","false"
"M112104","2239694b-771a-4586-8b54-2794e361a9ae","Maintain Relationship with Customers","technical","50","112104","2020","1330.3","Chief Technology Officer","http://data.europa.eu/esco/occupation/7b1b5da8-573a-49bb-a38e-68725a949f4f","http://data.europa.eu/esco/skill/2239694b-771a-4586-8b54-2794e361a9ae","optional","skill/competence","close_match","medium","test_only_project_mapping_not_human_validated","ESCO v1.2.1","false"
"M112104","248894d1-42dc-474f-af6e-2da52ac0c679","Define Technology Strategy","technical","100","112104","2020","1330.3","Chief Technology Officer","http://data.europa.eu/esco/occupation/7b1b5da8-573a-49bb-a38e-68725a949f4f","http://data.europa.eu/esco/skill/248894d1-42dc-474f-af6e-2da52ac0c679","essential","skill/competence","close_match","medium","test_only_project_mapping_not_human_validated","ESCO v1.2.1","false"
"M112104","27ed854c-15b8-4ba2-90e9-ae888a219703","Perform Business Analysis","technical","50","112104","2020","1330.3","Chief Technology Officer","http://data.europa.eu/esco/occupation/7b1b5da8-573a-49bb-a38e-68725a949f4f","http://data.europa.eu/esco/skill/27ed854c-15b8-4ba2-90e9-ae888a219703","optional","skill/competence","close_match","medium","test_only_project_mapping_not_human_validated","ESCO v1.2.1","false"
"M112104","2bde42ae-e776-41c1-9ded-b07b30bfe985","Prolog (Computer Programming)","digital","50","112104","2020","1330.3","Chief Technology Officer","http://data.europa.eu/esco/occupation/7b1b5da8-573a-49bb-a38e-68725a949f4f","http://data.europa.eu/esco/skill/2bde42ae-e776-41c1-9ded-b07b30bfe985","optional","knowledge","close_match","medium","test_only_project_mapping_not_human_validated","ESCO v1.2.1","false"
"M112104","300d432b-f457-4cd3-9cb1-1858c7d14954","OpenEdge Advanced Business Language","digital","50","112104","2020","1330.3","Chief Technology Officer","http://data.europa.eu/esco/occupation/7b1b5da8-573a-49bb-a38e-68725a949f4f","http://data.europa.eu/esco/skill/300d432b-f457-4cd3-9cb1-1858c7d14954","optional","knowledge","close_match","medium","test_only_project_mapping_not_human_validated","ESCO v1.2.1","false"
"M112104","397da142-ab35-48fe-b154-7c38f447adfb","Digital Systems","digital","50","112104","2020","1330.3","Chief Technology Officer","http://data.europa.eu/esco/occupation/7b1b5da8-573a-49bb-a38e-68725a949f4f","http://data.europa.eu/esco/skill/397da142-ab35-48fe-b154-7c38f447adfb","optional","knowledge","close_match","medium","test_only_project_mapping_not_human_validated","ESCO v1.2.1","false"
"M112104","3be6b84a-fa78-42b9-a8df-150cdb40b9d7","ICT Quality Policy","digital","50","112104","2020","1330.3","Chief Technology Officer","http://data.europa.eu/esco/occupation/7b1b5da8-573a-49bb-a38e-68725a949f4f","http://data.europa.eu/esco/skill/3be6b84a-fa78-42b9-a8df-150cdb40b9d7","optional","knowledge","close_match","medium","test_only_project_mapping_not_human_validated","ESCO v1.2.1","false"
"M112104","3cd569a2-4f88-4c1e-9995-8dce8c5e51a7","JavaScript","digital","50","112104","2020","1330.3","Chief Technology Officer","http://data.europa.eu/esco/occupation/7b1b5da8-573a-49bb-a38e-68725a949f4f","http://data.europa.eu/esco/skill/3cd569a2-4f88-4c1e-9995-8dce8c5e51a7","optional","knowledge","close_match","medium","test_only_project_mapping_not_human_validated","ESCO v1.2.1","false"
"M112104","3ce1fe19-7f9e-4070-941d-651673a5693b","Decision Support Systems","digital","100","112104","2020","1330.3","Chief Technology Officer","http://data.europa.eu/esco/occupation/7b1b5da8-573a-49bb-a38e-68725a949f4f","http://data.europa.eu/esco/skill/3ce1fe19-7f9e-4070-941d-651673a5693b","essential","knowledge","close_match","medium","test_only_project_mapping_not_human_validated","ESCO v1.2.1","false"
"M112104","3cfa46e9-b7da-44ac-b09e-9596dffe0425","Optimise Choice of ICT Solution","digital","100","112104","2020","1330.3","Chief Technology Officer","http://data.europa.eu/esco/occupation/7b1b5da8-573a-49bb-a38e-68725a949f4f","http://data.europa.eu/esco/skill/3cfa46e9-b7da-44ac-b09e-9596dffe0425","essential","skill/competence","close_match","medium","test_only_project_mapping_not_human_validated","ESCO v1.2.1","false"
"M112104","401eb8d8-6daa-4f8b-90ad-60afc71eb4f8","Perl","digital","50","112104","2020","1330.3","Chief Technology Officer","http://data.europa.eu/esco/occupation/7b1b5da8-573a-49bb-a38e-68725a949f4f","http://data.europa.eu/esco/skill/401eb8d8-6daa-4f8b-90ad-60afc71eb4f8","optional","knowledge","close_match","medium","test_only_project_mapping_not_human_validated","ESCO v1.2.1","false"
"M112104","42ed3bfb-1a01-4c8b-9758-fc6438865734","Smalltalk (Computer Programming)","digital","50","112104","2020","1330.3","Chief Technology Officer","http://data.europa.eu/esco/occupation/7b1b5da8-573a-49bb-a38e-68725a949f4f","http://data.europa.eu/esco/skill/42ed3bfb-1a01-4c8b-9758-fc6438865734","optional","knowledge","close_match","medium","test_only_project_mapping_not_human_validated","ESCO v1.2.1","false"
"M112104","4350c38d-0fe9-4ca7-bab9-40ed7f72b04f","PHP","digital","50","112104","2020","1330.3","Chief Technology Officer","http://data.europa.eu/esco/occupation/7b1b5da8-573a-49bb-a38e-68725a949f4f","http://data.europa.eu/esco/skill/4350c38d-0fe9-4ca7-bab9-40ed7f72b04f","optional","knowledge","close_match","medium","test_only_project_mapping_not_human_validated","ESCO v1.2.1","false"
"M112104","47b9bbcf-356c-4782-83a4-7f5a1b2b51a3","Assembly (Computer Programming)","digital","50","112104","2020","1330.3","Chief Technology Officer","http://data.europa.eu/esco/occupation/7b1b5da8-573a-49bb-a38e-68725a949f4f","http://data.europa.eu/esco/skill/47b9bbcf-356c-4782-83a4-7f5a1b2b51a3","optional","knowledge","close_match","medium","test_only_project_mapping_not_human_validated","ESCO v1.2.1","false"
