"role_id","role_title","masco_code","masco_source_page_pdf","rated_task_count","remote_capable_tasks","remote_onsite_tasks","remote_unclear_tasks","remote_pre_rating","ai_exposable_tasks","ai_exposure_share","ai_pre_rating","independent_raters_required","reconciliation_status","release_use","task_source_level","source_url","source_current_role_id","source_current_masco_code","source_current_role_title","source_current_url","masco_reference_version","masco2020_remap_method","masco2020_remap_confidence","masco2020_source_pdf_page","masco2020_source_url","profile_basis","source_current_task_source_level"
"M121411","Supply Chain Manager","121411","319","10","3","0","7","medium","2","0.2","low","2","pending","research_pre_rating_only","inherited_current_emasco_profile","https://emasco.mohr.gov.my/masco/1214-04","M121404","121404","Supply Chain and Logistics Management Manager","https://emasco.mohr.gov.my/masco/1214-04","2020","combined_title_split","medium","319","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=319","Current eMASCO D11 profile inherited for a MASCO 2020 identity; not 2020-specific task evidence; test only.","exact_occupation"
"M121416","Technology Manager","121416","319","9","3","0","6","medium","2","0.2222","low","2","pending","research_pre_rating_only","inherited_current_emasco_profile","https://emasco.mohr.gov.my/masco/1214-08","M121408","121408","Technology Manager","https://emasco.mohr.gov.my/masco/1214-08","2020","exact_normalized_title","high","319","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=319","Current eMASCO D11 profile inherited for a MASCO 2020 identity; not 2020-specific task evidence; test only.","exact_occupation"
"M122301","Research and Development Manager","122301","320","9","5","0","4","medium","3","0.3333","medium","2","pending","research_pre_rating_only","inherited_current_emasco_profile","https://emasco.mohr.gov.my/masco/1223-01","M122301","122301","Research and Development Manager","https://emasco.mohr.gov.my/masco/1223-01","2020","exact_normalized_title","high","320","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=320","Current eMASCO D11 profile inherited for a MASCO 2020 identity; not 2020-specific task evidence; test only.","exact_occupation"
"M131102","Forestry Manager","131102","320","10","5","0","5","medium","2","0.2","low","2","pending","research_pre_rating_only","inherited_current_emasco_profile","https://emasco.mohr.gov.my/masco/1311-01","M131101","131101","Forestry Manager","https://emasco.mohr.gov.my/masco/1311-01","2020","exact_normalized_title","high","320","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=320","Current eMASCO D11 profile inherited for a MASCO 2020 identity; not 2020-specific task evidence; test only.","exact_occupation"
"M131106","Agricultural Manager","131106","320","9","2","1","6","low","1","0.1111","low","2","pending","research_pre_rating_only","inherited_current_emasco_profile","https://emasco.mohr.gov.my/masco/1311-02","M131102","131102","Agricultural Manager","https://emasco.mohr.gov.my/masco/1311-02","2020","exact_normalized_title","high","320","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=320","Current eMASCO D11 profile inherited for a MASCO 2020 identity; not 2020-specific task evidence; test only.","exact_occupation"
"M131111","Veterinary Manager","131111","320","9","0","2","7","low","2","0.2222","low","2","pending","research_pre_rating_only","inherited_current_emasco_profile","https://emasco.mohr.gov.my/masco/1311-03","M131103","131103","Veterinary Manager","https://emasco.mohr.gov.my/masco/1311-03","2020","exact_normalized_title","high","320","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=320","Current eMASCO D11 profile inherited for a MASCO 2020 identity; not 2020-specific task evidence; test only.","exact_occupation"
"M131114","Field Manager, Grass","131114","320","9","0","2","7","low","2","0.2222","low","2","pending","research_pre_rating_only","inherited_current_emasco_profile","https://emasco.mohr.gov.my/masco/1311-04","M131104","131104","Field Manager (Grass)","https://emasco.mohr.gov.my/masco/1311-04","2020","exact_normalized_title","high","320","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=320","Current eMASCO D11 profile inherited for a MASCO 2020 identity; not 2020-specific task evidence; test only.","exact_occupation"
"M131202","Production and Operation Manager, Fishery","131202","320","10","2","1","7","low","2","0.2","low","2","pending","research_pre_rating_only","inherited_current_emasco_profile","https://emasco.mohr.gov.my/masco/1312-01","M131201","131201","Aquaculture and Fisheries Production/Operation Manager","https://emasco.mohr.gov.my/masco/1312-01","2020","combined_title_split","medium","320","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=320","Current eMASCO D11 profile inherited for a MASCO 2020 identity; not 2020-specific task evidence; test only.","exact_occupation"
"M131203","Aquaculture Production Manager","131203","320","10","2","1","7","low","2","0.2","low","2","pending","research_pre_rating_only","inherited_current_emasco_profile","https://emasco.mohr.gov.my/masco/1312-01","M131201","131201","Aquaculture and Fisheries Production/Operation Manager","https://emasco.mohr.gov.my/masco/1312-01","2020","combined_title_split","medium","320","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=320","Current eMASCO D11 profile inherited for a MASCO 2020 identity; not 2020-specific task evidence; test only.","exact_occupation"
"M132101","Manufacturing Manager","132101","320","10","2","0","8","medium","2","0.2","low","2","pending","research_pre_rating_only","inherited_current_emasco_profile","https://emasco.mohr.gov.my/masco/1321-01","M132101","132101","Manufacturing Manager","https://emasco.mohr.gov.my/masco/1321-01","2020","exact_normalized_title","high","320","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=320","Current eMASCO D11 profile inherited for a MASCO 2020 identity; not 2020-specific task evidence; test only.","exact_occupation"
