relative_path,provider,version_or_date,source_url,licence_or_reuse_note,bytes,sha256,acquired_on,scope_restriction
00_SOURCE_ARCHIVE/EMBEDDING_MODEL_CACHE/models--qdrant--all-MiniLM-L6-v2-onnx/refs/main,sentence-transformers / Qdrant ONNX distribution,all-MiniLM-L6-v2,https://huggingface.co/sentence-transformers/all-MiniLM-L6-v2,Apache License 2.0,40,c04445fc110a5f892ea0b402a5a4b47b81dbd83fcd1e9159b7da5be732ed8ab7,2026-08-27,non-resume reference
00_SOURCE_ARCHIVE/EMBEDDING_MODEL_CACHE/models--qdrant--all-MiniLM-L6-v2-onnx/snapshots/5f1b8cd78bc4fb444dd171e59b18f3a3af89a079/config.json,sentence-transformers / Qdrant ONNX distribution,all-MiniLM-L6-v2,https://huggingface.co/sentence-transformers/all-MiniLM-L6-v2,Apache License 2.0,650,1b4d8e2a3988377ed8b519a31d8d31025a25f1c5f8606998e8014111438efcd7,2026-08-27,non-resume reference
00_SOURCE_ARCHIVE/EMBEDDING_MODEL_CACHE/models--qdrant--all-MiniLM-L6-v2-onnx/snapshots/5f1b8cd78bc4fb444dd171e59b18f3a3af89a079/model.onnx,sentence-transformers / Qdrant ONNX distribution,all-MiniLM-L6-v2,https://huggingface.co/sentence-transformers/all-MiniLM-L6-v2,Apache License 2.0,90387630,bbd7b466f6d58e646fdc2bd5fd67b2f5e93c0b687011bd4548c420f7bd46f0c5,2026-08-27,non-resume reference
00_SOURCE_ARCHIVE/EMBEDDING_MODEL_CACHE/models--qdrant--all-MiniLM-L6-v2-onnx/snapshots/5f1b8cd78bc4fb444dd171e59b18f3a3af89a079/special_tokens_map.json,sentence-transformers / Qdrant ONNX distribution,all-MiniLM-L6-v2,https://huggingface.co/sentence-transformers/all-MiniLM-L6-v2,Apache License 2.0,695,5d5b662e421ea9fac075174bb0688ee0d9431699900b90662acd44b2a350503a,2026-08-27,non-resume reference
00_SOURCE_ARCHIVE/EMBEDDING_MODEL_CACHE/models--qdrant--all-MiniLM-L6-v2-onnx/snapshots/5f1b8cd78bc4fb444dd171e59b18f3a3af89a079/tokenizer.json,sentence-transformers / Qdrant ONNX distribution,all-MiniLM-L6-v2,https://huggingface.co/sentence-transformers/all-MiniLM-L6-v2,Apache License 2.0,711661,da0e79933b9ed51798a3ae27893d3c5fa4a201126cef75586296df9b4d2c62a0,2026-08-27,non-resume reference
00_SOURCE_ARCHIVE/EMBEDDING_MODEL_CACHE/models--qdrant--all-MiniLM-L6-v2-onnx/snapshots/5f1b8cd78bc4fb444dd171e59b18f3a3af89a079/tokenizer_config.json,sentence-transformers / Qdrant ONNX distribution,all-MiniLM-L6-v2,https://huggingface.co/sentence-transformers/all-MiniLM-L6-v2,Apache License 2.0,1433,bd2e06a5b20fd1b13ca988bedc8763d332d242381b4fbc98f8fead4524158f79,2026-08-27,non-resume reference
00_SOURCE_ARCHIVE/EMBEDDING_MODEL_CACHE/models--qdrant--all-MiniLM-L6-v2-onnx/trees/5f1b8cd78bc4fb444dd171e59b18f3a3af89a079.json,sentence-transformers / Qdrant ONNX distribution,all-MiniLM-L6-v2,https://huggingface.co/sentence-transformers/all-MiniLM-L6-v2,Apache License 2.0,1044,37a41146bb7a9f9d105ddd630f7dda2fa863e9b1aef033fa31acf4a2f72d7d2f,2026-08-27,non-resume reference
00_SOURCE_ARCHIVE/ESCO_to_ONET-SOC_official.xlsx,O*NET Resource Center,O*NET-SOC 2019 crosswalk,https://www.onetcenter.org/crosswalks.html,O*NET database CC BY 4.0; ESCO content per EU reuse notice,213061,bf6c854f7ffc935eba67a296d6d7fa4d40b70fb26bcdb5ecb5621374bca6f35b,2026-08-27,non-resume reference
00_SOURCE_ARCHIVE/ESCO_v1.2.1_skills_occupations_matrix.xlsx,European Commission ESCO,ESCO 1.2.1,https://esco.ec.europa.eu/en/about-esco/publications/publication/skills-occupations-matrix-tables,European Commission reuse policy / ESCO notice,5360566,3e95435b50e80bcabd1be0ce4850983a39d6fb9ac531892b3b08d64e7e3dd917,2026-08-27,non-resume reference
00_SOURCE_ARCHIVE/GPTs_are_GPTs_occ_level.csv,OpenAI / paper authors' repository,paper repository,https://github.com/openai/GPTs-are-GPTs,Repository licence and paper attribution,126022,40c74f53de40aec91c0017d80690cbba915f83a8bb414bcf2f884692f1749acb,2026-08-27,non-resume reference
