"source_current_role_id","source_current_masco_code","source_current_role_title","status","masco2020_role_ids","d13_esco_code","d13_esco_title","d11_esco_code","d11_esco_comparison_codes","d11_esco_comparison_titles","previous_d13_esco_code","source_mapping_relation","source_mapping_confidence"
"M214107","214107","Cost Evaluation Engineer","retained","M214115","2411.1.5","Cost Analyst","","","","","partial_proxy","low"
"M214108","214108","Industrial and Production Technologist","excluded_from_active_dataset","","2141.4.2","Production Engineer","","","","","close_match","medium"
"M214109","214109","Ceramics Technologist","retained","M214120","2149.11","Materials Engineer","","","","","broader_proxy","medium"
"M214110","214110","Photonic Engineer","retained","M214142","2149.12.1","Photonics Engineer","","","","","close_match","medium"
"M214111","214111","Scada Engineer","retained","M214144","2141.4.2.1","Automation Engineer","","","","","broader_proxy","medium"
"M214112","214112","Energy Engineer","retained","M214155","2149.9","Energy Engineer","","","","","close_match","high"
"M214113","214113","Renewable Energy Engineer","retained","M214156","2149.9.7","Renewable Energy Engineer","","","","","close_match","high"
"M214114","214114","Environment Engineer","retained","M214157","2143.1","Environmental Engineer","","","","","close_match","medium"
"M214115","214115","Energy Auditor","retained","M214159","3112.5","Energy Analyst","","","","","broader_proxy","medium"
"M214116","214116","Materials Engineer","retained","M214169","2149.11","Materials Engineer","","","","","close_match","high"
"M214201","214201","Civil Engineering Technologist","retained","M214206","2142.1","Civil Engineer","","","","","broader_proxy","medium"
"M214202","214202","Civil Engineer","retained","M214207","2142.1","Civil Engineer","","","","2142.1","close_match","high"
"M214203","214203","Foundation Engineer","retained","M214238","2142.1.4","Geological Engineer","","","","","partial_proxy","low"
"M214204","214204","Quantity Surveyor","retained","M214248","2149.14","Quantity Surveyor","","","","","close_match","high"
"M214206","214206","Engineer Grade J9","retained","M214202","2142.1","Civil Engineer","","","","","broader_proxy","medium"
"M214207","214207","Quantity Surveyor Grade J9/J10","retained","M214245","2149.14","Quantity Surveyor","","","","","close_match","high"
"M214208","214208","Building Surveyor Grade J9/J10","retained","M214246","3315.8","Real Estate Surveyor","","","","","close_match","medium"
"M214301","214301","Environmental Engineer","retained","M214301","2143.1","Environmental Engineer","","","","2143.1","close_match","high"
