role_id,role_title,masco_code,masco_unit_group_code,candidate_rank,candidate_esco_code,candidate_esco_title,candidate_esco_uri,matched_label,matched_label_type,title_similarity,candidate_status,mapping_status,review_decision,reviewer,review_notes
M121109,Actuarial Valuation Manager,121109,1211,2,1211.1,financial manager,http://data.europa.eu/esco/occupation/30f3ea93-882a-4525-841c-1d5b4b64076f,financial manager,preferredLabel,0.590909,review_only_not_used,no_unique_exact_esco_title_match,,,
M121109,Actuarial Valuation Manager,121109,1211,3,1211.1.3,budget manager,http://data.europa.eu/esco/occupation/44e0c015-309d-4f67-98a3-1e036966ed7f,budgeting manager,altLabel,0.545455,review_only_not_used,no_unique_exact_esco_title_match,,,
M121111,Transfer Pricing Manager,121111,1211,1,1211.1.3,budget manager,http://data.europa.eu/esco/occupation/44e0c015-309d-4f67-98a3-1e036966ed7f,budget and planning manager,altLabel,0.627451,review_only_not_used,no_unique_exact_esco_title_match,,,
M121111,Transfer Pricing Manager,121111,1211,2,1211.1.1,accounting manager,http://data.europa.eu/esco/occupation/04f39bfa-bc03-4480-98bc-b18ce4fe4b4b,cost accounting manager,altLabel,0.595745,review_only_not_used,no_unique_exact_esco_title_match,,,
M121111,Transfer Pricing Manager,121111,1211,3,1211.1,financial manager,http://data.europa.eu/esco/occupation/30f3ea93-882a-4525-841c-1d5b4b64076f,financial manager,preferredLabel,0.585366,review_only_not_used,no_unique_exact_esco_title_match,,,
M121202,Occupational Safety and Health Manager,121202,1212,1,1212.2.1,equality and inclusion manager,http://data.europa.eu/esco/occupation/949ab84f-5d76-4139-a568-45691b7ebc53,diversity and equality manager,altLabel,0.617647,review_only_not_used,no_unique_exact_esco_title_match,,,
M121202,Occupational Safety and Health Manager,121202,1212,2,1212.4,corporate training manager,http://data.europa.eu/esco/occupation/a14e96a7-6c4d-4d69-8c6f-7ccadf77bac5,education and training manager,altLabel,0.588235,review_only_not_used,no_unique_exact_esco_title_match,,,
M121202,Occupational Safety and Health Manager,121202,1212,3,1212.2,human resources manager,http://data.europa.eu/esco/occupation/f605bcd2-90b6-45a0-a558-d05016d68a77,relocation manager,altLabel,0.535714,review_only_not_used,no_unique_exact_esco_title_match,,,
M121404,Supply Chain and Logistics Management Manager,121404,1214,,,,,,,,no_esco_occupation_in_same_isco_group,no_unique_exact_esco_title_match,,,
M121408,Technology Manager,121408,1214,,,,,,,,no_esco_occupation_in_same_isco_group,no_unique_exact_esco_title_match,,,
