old_role_id,canonical_role_id,basis
R01,M251201,Original D1 Title and MASCO Unit Group; Original Row Archived
R02,M252403,Original D1 Title and MASCO Unit Group; Original Row Archived
R06,M254302,Original D1 Title and MASCO Unit Group; Original Row Archived
