split,masco_code,precision,recall,f1,support
val,231109,0.25,0.16666666666666666,0.2,6
val,242321,0.3333333333333333,0.3333333333333333,0.3333333333333333,6
val,242323,0.0,0.0,0.0,0
val,243110,1.0,0.3333333333333333,0.5,3
val,243121,0.0,0.0,0.0,3
val,243135,0.4,0.5,0.4444444444444444,4
val,243136,0.3333333333333333,0.16666666666666666,0.2222222222222222,6
val,251201,0.6666666666666666,0.6666666666666666,0.6666666666666666,3
val,252403,0.0,0.0,0.0,2
val,252416,0.0,0.0,0.0,1
val,254302,0.0,0.0,0.0,5
val,254309,0.0,0.0,0.0,0
val,254316,0.0,0.0,0.0,1
val,283302,0.0,0.0,0.0,0
val,283303,0.0,0.0,0.0,2
val,412107,0.0,0.0,0.0,8
val,422207,0.0,0.0,0.0,2
val,431110,0.125,0.25,0.16666666666666666,4
val,431118,0.4,0.3333333333333333,0.36363636363636365,6
test,231109,0.3333333333333333,0.2,0.25,5
test,242321,0.0,0.0,0.0,3
test,242323,0.0,0.0,0.0,2
test,243110,0.0,0.0,0.0,1
test,243121,0.4,0.6666666666666666,0.5,3
test,243135,1.0,0.2,0.3333333333333333,5
test,243136,0.0,0.0,0.0,2
test,251201,0.0,0.0,0.0,0
test,252403,0.0,0.0,0.0,1
test,252416,0.0,0.0,0.0,0
test,254302,0.8,1.0,0.8888888888888888,4
test,254309,0.0,0.0,0.0,0
test,254316,0.0,0.0,0.0,2
test,283302,0.0,0.0,0.0,1
test,283303,0.0,0.0,0.0,2
test,412107,0.0,0.0,0.0,8
test,422207,0.0,0.0,0.0,2
test,431110,0.25,0.3333333333333333,0.2857142857142857,3
test,431118,0.0,0.0,0.0,1
