"role_id","masco_code","role_title","candidate_rank","candidate_esco_code","candidate_esco_title","candidate_esco_uri","retrieval_score","title_cosine","profile_cosine","same_four_digit_group","selected_primary","status","score_is_probability"
"M121102","121102","Audit and Risk Management Manager","5","2411.1.7","financial auditor","http://data.europa.eu/esco/occupation/1ad59946-d13e-441e-9b36-56e1df055e21","0.594617","0.632319","0.553358","False","False","alternative_not_used","False"
"M121102","121102","Audit and Risk Management Manager","6","2529.8","cybersecurity risk manager","http://data.europa.eu/esco/occupation/7754d570-9519-48c2-b1c9-8e165f8bca0f","0.592963","0.602738","0.600681","False","False","alternative_not_used","False"
"M121102","121102","Audit and Risk Management Manager","7","1211.1.1","accounting manager","http://data.europa.eu/esco/occupation/04f39bfa-bc03-4480-98bc-b18ce4fe4b4b","0.589466","0.643466","0.500895","True","False","alternative_not_used","False"
"M121102","121102","Audit and Risk Management Manager","8","1211.1","financial manager","http://data.europa.eu/esco/occupation/30f3ea93-882a-4525-841c-1d5b4b64076f","0.557729","0.584996","0.492087","True","False","alternative_not_used","False"
"M121103","121103","Credit Manager","1","3312.3","credit manager","http://data.europa.eu/esco/occupation/32fafe2c-0099-4852-889e-46614ce9a9ae","0.926923","1","0.79121","False","True","selected","False"
"M121103","121103","Credit Manager","2","3312.2","credit adviser","http://data.europa.eu/esco/occupation/1a87e487-6761-4374-b6db-100ac5a9ad5a","0.793049","0.867701","0.72016","False","False","alternative_not_used","False"
"M121103","121103","Credit Manager","3","1346.3","credit union manager","http://data.europa.eu/esco/occupation/45a28fe1-30a4-4175-af19-e451ada60858","0.775713","0.849862","0.649293","False","False","alternative_not_used","False"
"M121103","121103","Credit Manager","4","3312.2.1","credit analyst","http://data.europa.eu/esco/occupation/075e4d25-74b3-46fb-9b6e-6b53cdb196e7","0.686116","0.778783","0.541661","False","False","alternative_not_used","False"
"M121103","121103","Credit Manager","5","3312.4","credit risk analyst","http://data.europa.eu/esco/occupation/b3ce981c-5b32-4de2-8e53-502a6357b2bc","0.659208","0.66545","0.569172","False","False","alternative_not_used","False"
"M121103","121103","Credit Manager","6","1211.1","financial manager","http://data.europa.eu/esco/occupation/30f3ea93-882a-4525-841c-1d5b4b64076f","0.651521","0.724426","0.488169","True","False","alternative_not_used","False"
"M121103","121103","Credit Manager","7","1346.1","bank manager","http://data.europa.eu/esco/occupation/754ce08f-b4d9-4b9c-b9d2-06f15258a3ce","0.643284","0.744805","0.488231","False","False","alternative_not_used","False"
"M121103","121103","Credit Manager","8","1211.1.1","accounting manager","http://data.europa.eu/esco/occupation/04f39bfa-bc03-4480-98bc-b18ce4fe4b4b","0.627608","0.672726","0.521415","True","False","alternative_not_used","False"
"M121104","121104","Insurance Manager","1","1346.4","insurance agency manager","http://data.europa.eu/esco/occupation/594170bc-5663-40b0-97ef-c9f1ad51b2a0","0.875087","0.942196","0.798855","False","True","selected","False"
"M121104","121104","Insurance Manager","2","1346.5","insurance claims manager","http://data.europa.eu/esco/occupation/942211c1-b534-4a14-ae85-38ea44c2d14b","0.829169","0.875327","0.763186","False","False","alternative_not_used","False"
"M121104","121104","Insurance Manager","3","1223.1.1","insurance product manager","http://data.europa.eu/esco/occupation/73856e9e-eca2-44c2-bb3c-aaedf4b25979","0.800261","0.856158","0.69909","False","False","alternative_not_used","False"
"M121104","121104","Insurance Manager","4","4312.4","insurance clerk","http://data.europa.eu/esco/occupation/9a39a143-d93c-4093-ba3b-47fb67ade318","0.719953","0.772174","0.605689","False","False","alternative_not_used","False"
"M121104","121104","Insurance Manager","5","3321.1","insurance broker","http://data.europa.eu/esco/occupation/a198de8c-24b1-4002-982f-a57ae6d6c19c","0.71222","0.763903","0.59541","False","False","alternative_not_used","False"
"M121104","121104","Insurance Manager","6","1213.2","policy manager","http://data.europa.eu/esco/occupation/64e38ce7-3901-4261-bfee-77c7a77397f2","0.689366","0.730989","0.64885","False","False","alternative_not_used","False"
"M121104","121104","Insurance Manager","7","3321.2","insurance risk consultant","http://data.europa.eu/esco/occupation/7bcafcd7-3f35-4a72-849c-c92b334927fd","0.684927","0.747335","0.561581","False","False","alternative_not_used","False"
"M121104","121104","Insurance Manager","8","1211.1","financial manager","http://data.europa.eu/esco/occupation/30f3ea93-882a-4525-841c-1d5b4b64076f","0.646147","0.647708","0.50298","True","False","alternative_not_used","False"
"M121105","121105","Fund/Portfolio Manager","1","2412.7","investment fund manager","http://data.europa.eu/esco/occupation/b95bdbed-1e7e-482a-aa73-7bdbb3e36358","0.857774","0.889661","0.815553","False","True","selected","False"
"M121105","121105","Fund/Portfolio Manager","2","2412.6.3","investment manager","http://data.europa.eu/esco/occupation/0ecedad1-1144-45ff-83db-a3c4db393036","0.771881","0.773826","0.774195","False","False","alternative_not_used","False"
"M121105","121105","Fund/Portfolio Manager","3","3311.1","asset manager","http://data.europa.eu/esco/occupation/e20eee17-4876-4f21-a0cb-5d7f40c63cd8","0.714169","0.660806","0.753617","False","False","alternative_not_used","False"
"M121105","121105","Fund/Portfolio Manager","4","2412.6.2","investment fund management assistant","http://data.europa.eu/esco/occupation/934c3572-37f4-4cdd-a4a4-017f5f7809e4","0.685723","0.745529","0.722739","False","False","alternative_not_used","False"
"M121105","121105","Fund/Portfolio Manager","5","2412.6","investment adviser","http://data.europa.eu/esco/occupation/38d9c76b-1a7b-4d65-879b-733ae7e9364e","0.682762","0.745085","0.672056","False","False","alternative_not_used","False"
"M121105","121105","Fund/Portfolio Manager","6","2412.5","financial risk manager","http://data.europa.eu/esco/occupation/7a6ca615-a2bc-499d-8288-d186ce2594ea","0.673686","0.688568","0.677414","False","False","alternative_not_used","False"
"M121105","121105","Fund/Portfolio Manager","7","1211.1","financial manager","http://data.europa.eu/esco/occupation/30f3ea93-882a-4525-841c-1d5b4b64076f","0.665895","0.692753","0.614734","True","False","alternative_not_used","False"
"M121105","121105","Fund/Portfolio Manager","8","3311.2.3","mutual fund broker","http://data.europa.eu/esco/occupation/c9839843-6cac-4564-8aa7-de4a5b9b62e1","0.661004","0.721828","0.606527","False","False","alternative_not_used","False"
"M121107","121107","Tax Manager","1","2411.1.12","tax advisor","http://data.europa.eu/esco/occupation/59c22779-4d89-4bc9-ba8b-d64bea236723","0.735558","0.826033","0.623412","False","True","selected","False"
"M121107","121107","Tax Manager","2","3352.1","tax compliance officer","http://data.europa.eu/esco/occupation/4a39fddb-17e7-4431-be03-613edab8d1c8","0.708226","0.739997","0.689866","False","False","alternative_not_used","False"
"M121107","121107","Tax Manager","3","3352.2","tax inspector","http://data.europa.eu/esco/occupation/c766198e-5b9c-4c85-9fef-be27c783ab19","0.682993","0.702305","0.698114","False","False","alternative_not_used","False"
"M121107","121107","Tax Manager","4","4312.7","tax clerk","http://data.europa.eu/esco/occupation/84fabf82-4abf-4f41-99aa-55718a2e500b","0.661367","0.73904","0.576706","False","False","alternative_not_used","False"
"M121107","121107","Tax Manager","5","1211.1.1","accounting manager","http://data.europa.eu/esco/occupation/04f39bfa-bc03-4480-98bc-b18ce4fe4b4b","0.632545","0.65828","0.558006","True","False","alternative_not_used","False"
"M121107","121107","Tax Manager","6","2631.2.4","tax policy analyst","http://data.europa.eu/esco/occupation/b3e459a2-0103-4182-8882-c255d474a7ff","0.628128","0.693169","0.531684","False","False","alternative_not_used","False"
"M121107","121107","Tax Manager","7","1213.5","business manager","http://data.europa.eu/esco/occupation/544cd9cf-e2ee-4ac0-8a02-7147af6b97d7","0.606845","0.626154","0.466667","False","False","alternative_not_used","False"
"M121107","121107","Tax Manager","8","1211.1","financial manager","http://data.europa.eu/esco/occupation/30f3ea93-882a-4525-841c-1d5b4b64076f","0.600187","0.63786","0.46403","True","False","alternative_not_used","False"
"M121108","121108","Claims Manager","1","1346.5","insurance claims manager","http://data.europa.eu/esco/occupation/942211c1-b534-4a14-ae85-38ea44c2d14b","0.92","0.862667","0.798773","False","True","selected","False"
"M121108","121108","Claims Manager","2","3315.3","insurance claims handler","http://data.europa.eu/esco/occupation/01a83071-6533-4675-b2da-f0c6d02669f5","0.651267","0.619565","0.638935","False","False","alternative_not_used","False"
"M121108","121108","Claims Manager","3","1346.4","insurance agency manager","http://data.europa.eu/esco/occupation/594170bc-5663-40b0-97ef-c9f1ad51b2a0","0.626733","0.689567","0.560672","False","False","alternative_not_used","False"
"M121108","121108","Claims Manager","4","1213.2","policy manager","http://data.europa.eu/esco/occupation/64e38ce7-3901-4261-bfee-77c7a77397f2","0.581661","0.595933","0.504434","False","False","alternative_not_used","False"
"M121108","121108","Claims Manager","5","1211.1.1","accounting manager","http://data.europa.eu/esco/occupation/04f39bfa-bc03-4480-98bc-b18ce4fe4b4b","0.580764","0.606663","0.481951","True","False","alternative_not_used","False"
"M121108","121108","Claims Manager","6","1223.1.1","insurance product manager","http://data.europa.eu/esco/occupation/73856e9e-eca2-44c2-bb3c-aaedf4b25979","0.569767","0.611673","0.49926","False","False","alternative_not_used","False"
"M121108","121108","Claims Manager","7","3312.3","credit manager","http://data.europa.eu/esco/occupation/32fafe2c-0099-4852-889e-46614ce9a9ae","0.549628","0.570233","0.449624","False","False","alternative_not_used","False"
"M121108","121108","Claims Manager","8","2619.1","contract manager","http://data.europa.eu/esco/occupation/2c9939ef-ebab-4111-8f27-605ae8782791","0.547462","0.593651","0.43039","False","False","alternative_not_used","False"
"M121109","121109","Actuarial Valuation Manager","1","2120.1","actuarial consultant","http://data.europa.eu/esco/occupation/068c2787-58ff-468e-bbb6-c4e5dd6ee482","0.635495","0.660783","0.597439","False","True","selected","False"
"M121109","121109","Actuarial Valuation Manager","2","3314.1","actuarial assistant","http://data.europa.eu/esco/occupation/160c1469-bbb6-48d3-b2a7-db8b30d724b5","0.572168","0.576784","0.539013","False","False","alternative_not_used","False"
"M121109","121109","Actuarial Valuation Manager","3","2412.5","financial risk manager","http://data.europa.eu/esco/occupation/7a6ca615-a2bc-499d-8288-d186ce2594ea","0.541886","0.538612","0.51641","False","False","alternative_not_used","False"
"M121109","121109","Actuarial Valuation Manager","4","1211.1.1","accounting manager","http://data.europa.eu/esco/occupation/04f39bfa-bc03-4480-98bc-b18ce4fe4b4b","0.529603","0.53891","0.404318","True","False","alternative_not_used","False"
"M121109","121109","Actuarial Valuation Manager","5","1211.1","financial manager","http://data.europa.eu/esco/occupation/30f3ea93-882a-4525-841c-1d5b4b64076f","0.504263","0.514962","0.408989","True","False","alternative_not_used","False"
"M121109","121109","Actuarial Valuation Manager","6","3334.5","real estate manager","http://data.europa.eu/esco/occupation/0f5b4653-50b2-413a-826d-39d447480c21","0.493639","0.55972","0.345864","False","False","alternative_not_used","False"
"M121109","121109","Actuarial Valuation Manager","7","2412.3","corporate risk manager","http://data.europa.eu/esco/occupation/b09acdda-6680-49d1-a411-129610ee3bc0","0.485448","0.500102","0.437269","False","False","alternative_not_used","False"
"M121109","121109","Actuarial Valuation Manager","8","3311.1","asset manager","http://data.europa.eu/esco/occupation/e20eee17-4876-4f21-a0cb-5d7f40c63cd8","0.471421","0.471179","0.399518","False","False","alternative_not_used","False"
"M121111","121111","Transfer Pricing Manager","1","2431.14","pricing specialist","http://data.europa.eu/esco/occupation/e16c2422-1323-4d8a-bd0f-c7584de70be1","0.554634","0.584279","0.489114","False","False","alternative_not_used","False"
"M121111","121111","Transfer Pricing Manager","2","1324.4","move manager","http://data.europa.eu/esco/occupation/8f928d49-da89-4d07-9123-2151a4d276d4","0.485358","0.522567","0.392093","False","False","alternative_not_used","False"
"M121111","121111","Transfer Pricing Manager","3","1324.8.2","purchasing manager","http://data.europa.eu/esco/occupation/377865f0-c327-4599-8c7e-d428c6588edf","0.478322","0.513306","0.347627","False","False","alternative_not_used","False"
"M121111","121111","Transfer Pricing Manager","4","1221.3.1","destination manager","http://data.europa.eu/esco/occupation/425ed170-bf90-42c9-b5bd-148282ed96ff","0.463637","0.527254","0.298729","False","False","alternative_not_used","False"
"M121111","121111","Transfer Pricing Manager","5","3334.2","property acquisitions manager","http://data.europa.eu/esco/occupation/b915ab4a-f7b1-44bc-a5a4-585e91d31dfd","0.46038","0.486248","0.37073","False","False","alternative_not_used","False"
"M121111","121111","Transfer Pricing Manager","6","1221.3.3","promotion manager","http://data.europa.eu/esco/occupation/d954fd71-0e2f-4cf9-85f0-c040fa6cbda9","0.448301","0.489815","0.307567","False","False","alternative_not_used","False"
"M121111","121111","Transfer Pricing Manager","7","1221.7","bid manager","http://data.europa.eu/esco/occupation/53a362a4-4c83-4ce2-837f-d1faba4cd247","0.447718","0.463139","0.34689","False","False","alternative_not_used","False"
"M121111","121111","Transfer Pricing Manager","8","3331.2","forwarding manager","http://data.europa.eu/esco/occupation/39803100-c338-4f01-ad2c-085d488920ca","0.446443","0.441442","0.359206","False","False","alternative_not_used","False"
