actual_role_id,R01,R02,R03,R04,R05,R06,R07,R08,R09,R10
R01,0,0,0,0,0,0,0,0,0,0
R02,0,0,0,0,0,0,0,0,0,1
R03,0,0,0,0,2,0,2,0,0,1
R04,1,0,0,2,3,1,3,0,0,1
R05,0,1,0,1,0,0,1,0,0,0
R06,0,0,0,1,1,3,0,1,0,0
R07,0,0,1,2,0,0,0,0,1,0
R08,0,0,0,0,0,1,1,0,0,0
R09,2,0,1,2,0,0,2,0,1,0
R10,0,0,0,2,0,0,0,0,1,2
